yyyymm	yyyymm2	av	hi
1923/12/21	1923/12/31	3.9	13.5
1924/1/1	1924/1/10	2.8	10.6
1924/1/11	1924/1/20	4.2	14.7
1924/1/21	1924/1/31	1.5	11.8
1924/2/1	1924/2/10	5.1	16.3
1924/2/11	1924/2/20	3.5	12.1
1924/2/21	1924/2/29	2.8	13.8
1924/3/1	1924/3/10	3.6	11.5
1924/3/11	1924/3/20	3	12.9
1924/3/21	1924/3/31	6.4	17.9
1924/4/1	1924/4/10	11.8	21.4
1924/4/11	1924/4/20	15.3	24.5
1924/4/21	1924/4/30	15	23.9
1924/5/1	1924/5/10	16.3	27.2
1924/5/11	1924/5/20	16	24.5
1924/5/21	1924/5/31	16.7	24.8
1924/6/1	1924/6/10	19.4	26.1
1924/6/11	1924/6/20	21	29
1924/6/21	1924/6/30	22.6	30
1924/7/1	1924/7/10	26.2	37.1
1924/7/11	1924/7/20	25.9	31.9
1924/7/21	1924/7/31	27.8	35.6
1924/8/1	1924/8/10	27.1	35.6
1924/8/11	1924/8/20	27.1	36.2
1924/8/21	1924/8/31	25.7	33.3
1924/9/1	1924/9/10	24.7	31.7
1924/9/11	1924/9/20	22.2	31.1
1924/9/21	1924/9/30	18.7	27.5
1924/10/1	1924/10/10	18.9	26.1
1924/10/11	1924/10/20	16.2	25.6
1924/10/21	1924/10/31	12.5	20.3
1924/11/1	1924/11/10	10.3	19
1924/11/11	1924/11/20	7.6	18.8
1924/11/21	1924/11/30	7.8	21.8
1924/12/1	1924/12/10	6.6	15.4
1924/12/11	1924/12/20	3.4	10.7
1924/12/21	1924/12/31	4.5	15.2
1925/1/1	1925/1/10	4	10.6
1925/1/11	1925/1/20	1.6	10.5
1925/1/21	1925/1/31	2	10.4
1925/2/1	1925/2/10	2.3	11.9
1925/2/11	1925/2/20	3.1	12
1925/2/21	1925/2/28	1.2	8.9
1925/3/1	1925/3/10	3.2	14
1925/3/11	1925/3/20	4.5	15.9
1925/3/21	1925/3/31	7.7	17.8
1925/4/1	1925/4/10	9.5	21
1925/4/11	1925/4/20	11.3	23.3
1925/4/21	1925/4/30	13.3	21.5
1925/5/1	1925/5/10	16.8	29
1925/5/11	1925/5/20	16.2	24.9
